Waktu,Tanggal,Jam,Latar Tempat,Objek Terdeteksi,Ekspresi,Kelamin,Keterangan,Foto
2025-11-07 10:44:32,2025-11-07,10:44:32,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104432.jpg
2025-11-07 10:46:40,2025-11-07,10:46:40,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104640.jpg
2025-11-07 10:46:46,2025-11-07,10:46:46,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104646.jpg
2025-11-07 10:46:50,2025-11-07,10:46:50,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_104650.jpg
2025-11-07 10:46:52,2025-11-07,10:46:52,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104652.jpg
2025-11-07 10:46:58,2025-11-07,10:46:58,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_104658.jpg
2025-11-07 10:47:01,2025-11-07,10:47:01,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104701.jpg
2025-11-07 10:47:05,2025-11-07,10:47:05,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_104705.jpg
2025-11-07 10:47:11,2025-11-07,10:47:11,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_104711.jpg
2025-11-07 10:47:17,2025-11-07,10:47:17,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_104717.jpg
2025-11-07 10:47:22,2025-11-07,10:47:22,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_104722.jpg
2025-11-07 10:47:24,2025-11-07,10:47:24,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_104724.jpg
2025-11-07 10:47:27,2025-11-07,10:47:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104727.jpg
2025-11-07 10:47:34,2025-11-07,10:47:34,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104734.jpg
2025-11-07 10:47:41,2025-11-07,10:47:41,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104741.jpg
2025-11-07 10:47:46,2025-11-07,10:47:46,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104746.jpg
2025-11-07 10:47:52,2025-11-07,10:47:52,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104752.jpg
2025-11-07 10:47:57,2025-11-07,10:47:57,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104757.jpg
2025-11-07 10:48:03,2025-11-07,10:48:03,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104803.jpg
2025-11-07 10:48:05,2025-11-07,10:48:05,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_104805.jpg
2025-11-07 10:48:10,2025-11-07,10:48:10,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_104810.jpg
2025-11-07 10:48:15,2025-11-07,10:48:15,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_104815.jpg
2025-11-07 10:48:17,2025-11-07,10:48:17,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_104817.jpg
2025-11-07 10:48:19,2025-11-07,10:48:19,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104819.jpg
2025-11-07 10:48:24,2025-11-07,10:48:24,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104824.jpg
2025-11-07 10:48:29,2025-11-07,10:48:29,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104829.jpg
2025-11-07 10:48:37,2025-11-07,10:48:37,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104837.jpg
2025-11-07 10:48:39,2025-11-07,10:48:39,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 4,faces\person_4\person_4_20251107_104839.jpg
2025-11-07 10:48:41,2025-11-07,10:48:41,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 5,faces\person_5\person_5_20251107_104841.jpg
2025-11-07 10:48:44,2025-11-07,10:48:44,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104844.jpg
2025-11-07 10:48:49,2025-11-07,10:48:49,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104849.jpg
2025-11-07 10:48:55,2025-11-07,10:48:55,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_104855.jpg
2025-11-07 10:49:00,2025-11-07,10:49:00,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104900.jpg
2025-11-07 10:49:04,2025-11-07,10:49:04,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_104904.jpg
2025-11-07 10:49:09,2025-11-07,10:49:09,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 6,faces\person_6\person_6_20251107_104909.jpg
2025-11-07 10:49:18,2025-11-07,10:49:18,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104918.jpg
2025-11-07 10:49:21,2025-11-07,10:49:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 7,faces\person_7\person_7_20251107_104921.jpg
2025-11-07 10:49:25,2025-11-07,10:49:25,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104925.jpg
2025-11-07 10:49:32,2025-11-07,10:49:32,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 8,faces\person_8\person_8_20251107_104932.jpg
2025-11-07 10:49:34,2025-11-07,10:49:34,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_104934.jpg
2025-11-07 11:11:21,2025-11-07,11:11:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111121.jpg
2025-11-07 11:11:29,2025-11-07,11:11:29,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111129.jpg
2025-11-07 11:11:35,2025-11-07,11:11:35,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111135.jpg
2025-11-07 11:11:41,2025-11-07,11:11:41,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111141.jpg
2025-11-07 11:11:47,2025-11-07,11:11:47,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111147.jpg
2025-11-07 11:11:49,2025-11-07,11:11:49,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111149.jpg
2025-11-07 11:11:53,2025-11-07,11:11:53,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251107_111153.jpg
2025-11-07 11:11:55,2025-11-07,11:11:55,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111155.jpg
2025-11-07 11:11:57,2025-11-07,11:11:57,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111157.jpg
2025-11-07 11:12:02,2025-11-07,11:12:02,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111202.jpg
2025-11-07 11:12:05,2025-11-07,11:12:05,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111205.jpg
2025-11-07 11:12:10,2025-11-07,11:12:10,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111210.jpg
2025-11-07 11:12:15,2025-11-07,11:12:15,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111215.jpg
2025-11-07 11:12:20,2025-11-07,11:12:20,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111220.jpg
2025-11-07 11:12:22,2025-11-07,11:12:22,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111222.jpg
2025-11-07 11:12:29,2025-11-07,11:12:29,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111229.jpg
2025-11-07 11:12:36,2025-11-07,11:12:36,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111236.jpg
2025-11-07 11:12:39,2025-11-07,11:12:39,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111239.jpg
2025-11-07 11:12:41,2025-11-07,11:12:41,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111241.jpg
2025-11-07 11:12:46,2025-11-07,11:12:46,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111246.jpg
2025-11-07 11:12:52,2025-11-07,11:12:52,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111252.jpg
2025-11-07 11:12:57,2025-11-07,11:12:57,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111257.jpg
2025-11-07 11:13:01,2025-11-07,11:13:01,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111301.jpg
2025-11-07 11:13:04,2025-11-07,11:13:04,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111304.jpg
2025-11-07 11:13:10,2025-11-07,11:13:10,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111310.jpg
2025-11-07 11:13:16,2025-11-07,11:13:16,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111316.jpg
2025-11-07 11:13:21,2025-11-07,11:13:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111321.jpg
2025-11-07 11:13:26,2025-11-07,11:13:26,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_111326.jpg
2025-11-07 11:13:30,2025-11-07,11:13:30,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111330.jpg
2025-11-07 11:13:35,2025-11-07,11:13:35,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111335.jpg
2025-11-07 11:13:40,2025-11-07,11:13:40,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111340.jpg
2025-11-07 11:13:47,2025-11-07,11:13:47,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_111347.jpg
2025-11-07 11:23:15,2025-11-07,11:23:15,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_112315.jpg
2025-11-07 11:23:19,2025-11-07,11:23:19,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_112319.jpg
2025-11-07 11:23:21,2025-11-07,11:23:21,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 4,faces\person_4\person_4_20251107_112321.jpg
2025-11-07 11:23:25,2025-11-07,11:23:25,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_112325.jpg
2025-11-07 11:23:33,2025-11-07,11:23:33,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_112333.jpg
2025-11-07 11:23:54,2025-11-07,11:23:54,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_112354.jpg
2025-11-07 11:24:05,2025-11-07,11:24:05,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 5,faces\person_5\person_5_20251107_112405.jpg
2025-11-07 11:24:16,2025-11-07,11:24:16,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_112416.jpg
2025-11-07 12:26:41,2025-11-07,12:26:41,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_122641.jpg
2025-11-07 12:26:47,2025-11-07,12:26:47,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_122647.jpg
2025-11-07 12:26:55,2025-11-07,12:26:55,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_122655.jpg
2025-11-07 12:27:03,2025-11-07,12:27:03,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_122703.jpg
2025-11-07 12:27:07,2025-11-07,12:27:07,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 6,faces\person_6\person_6_20251107_122707.jpg
2025-11-07 12:27:17,2025-11-07,12:27:17,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_122717.jpg
2025-11-07 12:27:22,2025-11-07,12:27:22,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_122722.jpg
2025-11-07 12:27:27,2025-11-07,12:27:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_122727.jpg
2025-11-07 12:27:35,2025-11-07,12:27:35,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 7,faces\person_7\person_7_20251107_122735.jpg
2025-11-07 12:27:35,2025-11-07,12:27:35,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_122735.jpg
2025-11-07 12:27:45,2025-11-07,12:27:45,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_122745.jpg
2025-11-07 12:27:48,2025-11-07,12:27:48,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251107_122748.jpg
2025-11-07 12:27:51,2025-11-07,12:27:51,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 8,faces\person_8\person_8_20251107_122751.jpg
2025-11-07 12:27:54,2025-11-07,12:27:54,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_122754.jpg
2025-11-07 12:27:57,2025-11-07,12:27:57,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 9,faces\person_9\person_9_20251107_122757.jpg
2025-11-07 12:27:59,2025-11-07,12:27:59,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251107_122759.jpg
2025-11-09 08:59:49,2025-11-09,08:59:49,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_085949.jpg
2025-11-09 08:59:58,2025-11-09,08:59:58,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251109_085958.jpg
2025-11-09 09:00:28,2025-11-09,09:00:28,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251109_090028.jpg
2025-11-09 09:00:28,2025-11-09,09:00:28,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_090028.jpg
2025-11-09 09:00:30,2025-11-09,09:00:30,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 4,faces\person_4\person_4_20251109_090030.jpg
2025-11-09 09:00:30,2025-11-09,09:00:30,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251109_090030.jpg
2025-11-09 09:00:34,2025-11-09,09:00:34,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_090034.jpg
2025-11-09 09:00:36,2025-11-09,09:00:36,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251109_090036.jpg
2025-11-09 09:00:39,2025-11-09,09:00:39,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 5,faces\person_5\person_5_20251109_090039.jpg
2025-11-09 09:00:39,2025-11-09,09:00:39,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_090039.jpg
2025-11-09 09:00:39,2025-11-09,09:00:39,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251109_090039.jpg
2025-11-09 09:00:45,2025-11-09,09:00:45,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251109_090045.jpg
2025-11-09 09:00:49,2025-11-09,09:00:49,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 6,faces\person_6\person_6_20251109_090049.jpg
2025-11-09 09:00:54,2025-11-09,09:00:54,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_090054.jpg
2025-11-09 09:01:00,2025-11-09,09:01:00,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_090100.jpg
2025-11-09 09:01:07,2025-11-09,09:01:07,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_090107.jpg
2025-11-09 09:01:13,2025-11-09,09:01:13,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_090113.jpg
2025-11-09 09:01:16,2025-11-09,09:01:16,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 7,faces\person_7\person_7_20251109_090116.jpg
2025-11-09 09:01:16,2025-11-09,09:01:16,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 8,faces\person_8\person_8_20251109_090116.jpg
2025-11-09 09:01:45,2025-11-09,09:01:45,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 9,faces\person_9\person_9_20251109_090145.jpg
2025-11-09 09:03:43,2025-11-09,09:03:43,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 10,faces\person_10\person_10_20251109_090343.jpg
2025-11-09 09:03:48,2025-11-09,09:03:48,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 10,faces\person_10\person_10_20251109_090348.jpg
2025-11-09 09:03:54,2025-11-09,09:03:54,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 10,faces\person_10\person_10_20251109_090354.jpg
2025-11-09 09:03:55,2025-11-09,09:03:55,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 11,faces\person_11\person_11_20251109_090355.jpg
2025-11-09 09:03:57,2025-11-09,09:03:57,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 12,faces\person_12\person_12_20251109_090357.jpg
2025-11-09 09:04:00,2025-11-09,09:04:00,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 13,faces\person_13\person_13_20251109_090400.jpg
2025-11-09 09:04:02,2025-11-09,09:04:02,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 10,faces\person_10\person_10_20251109_090402.jpg
2025-11-09 09:04:05,2025-11-09,09:04:05,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 7,faces\person_7\person_7_20251109_090405.jpg
2025-11-09 09:04:08,2025-11-09,09:04:08,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 14,faces\person_14\person_14_20251109_090408.jpg
2025-11-09 09:04:12,2025-11-09,09:04:12,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 7,faces\person_7\person_7_20251109_090412.jpg
2025-11-09 09:04:16,2025-11-09,09:04:16,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 14,faces\person_14\person_14_20251109_090416.jpg
2025-11-09 09:04:18,2025-11-09,09:04:18,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 7,faces\person_7\person_7_20251109_090418.jpg
2025-11-09 09:04:19,2025-11-09,09:04:19,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 15,faces\person_15\person_15_20251109_090419.jpg
2025-11-09 09:04:23,2025-11-09,09:04:23,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 14,faces\person_14\person_14_20251109_090423.jpg
2025-11-09 09:04:30,2025-11-09,09:04:30,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251109_090430.jpg
2025-11-09 09:04:30,2025-11-09,09:04:30,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 4,faces\person_4\person_4_20251109_090430.jpg
2025-11-09 09:04:32,2025-11-09,09:04:32,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 16,faces\person_16\person_16_20251109_090432.jpg
2025-11-09 09:21:51,2025-11-09,09:21:51,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251109_092151.jpg
2025-11-09 09:21:51,2025-11-09,09:21:51,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092151.jpg
2025-11-09 09:21:54,2025-11-09,09:21:54,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 17,faces\person_17\person_17_20251109_092154.jpg
2025-11-09 09:22:00,2025-11-09,09:22:00,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092200.jpg
2025-11-09 09:22:02,2025-11-09,09:22:02,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 18,faces\person_18\person_18_20251109_092202.jpg
2025-11-09 09:22:06,2025-11-09,09:22:06,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092206.jpg
2025-11-09 09:22:11,2025-11-09,09:22:11,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 19,faces\person_19\person_19_20251109_092211.jpg
2025-11-09 09:22:13,2025-11-09,09:22:13,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092213.jpg
2025-11-09 09:22:20,2025-11-09,09:22:20,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092220.jpg
2025-11-09 09:22:26,2025-11-09,09:22:26,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251109_092226.jpg
2025-11-09 09:22:30,2025-11-09,09:22:30,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 20,faces\person_20\person_20_20251109_092230.jpg
2025-11-09 09:22:32,2025-11-09,09:22:32,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092232.jpg
2025-11-09 09:22:39,2025-11-09,09:22:39,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092239.jpg
2025-11-09 09:22:45,2025-11-09,09:22:45,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092245.jpg
2025-11-09 09:22:51,2025-11-09,09:22:51,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 20,faces\person_20\person_20_20251109_092251.jpg
2025-11-09 09:22:53,2025-11-09,09:22:53,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251109_092253.jpg
2025-11-09 09:23:18,2025-11-09,09:23:18,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092318.jpg
2025-11-09 09:23:24,2025-11-09,09:23:24,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 20,faces\person_20\person_20_20251109_092324.jpg
2025-11-09 09:23:29,2025-11-09,09:23:29,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251109_092329.jpg
2025-11-09 09:23:31,2025-11-09,09:23:31,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092331.jpg
2025-11-09 09:23:40,2025-11-09,09:23:40,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092340.jpg
2025-11-09 09:23:46,2025-11-09,09:23:46,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092346.jpg
2025-11-09 09:23:46,2025-11-09,09:23:46,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 17,faces\person_17\person_17_20251109_092346.jpg
2025-11-09 09:23:52,2025-11-09,09:23:52,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092352.jpg
2025-11-09 09:24:03,2025-11-09,09:24:03,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092403.jpg
2025-11-09 09:24:03,2025-11-09,09:24:03,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 17,faces\person_17\person_17_20251109_092403.jpg
2025-11-09 09:24:10,2025-11-09,09:24:10,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092410.jpg
2025-11-09 09:24:16,2025-11-09,09:24:16,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092416.jpg
2025-11-09 09:24:22,2025-11-09,09:24:22,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092422.jpg
2025-11-09 09:24:24,2025-11-09,09:24:24,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251109_092424.jpg
2025-11-09 09:24:27,2025-11-09,09:24:27,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092427.jpg
2025-11-09 09:24:37,2025-11-09,09:24:37,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_092437.jpg
2025-11-09 09:30:01,2025-11-09,09:30:01,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251109_093001.jpg
2025-11-09 09:30:05,2025-11-09,09:30:05,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_093005.jpg
2025-11-09 09:31:24,2025-11-09,09:31:24,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_093124.jpg
2025-11-09 09:31:30,2025-11-09,09:31:30,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251109_093130.jpg
2025-11-09 18:39:56,2025-11-09,18:39:56,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 1,faces\person_1\person_1_20251109_183956.jpg
2025-11-09 18:39:56,2025-11-09,18:39:56,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 2,faces\person_2\person_2_20251109_183956.jpg
2025-11-09 18:39:59,2025-11-09,18:39:59,Webcam,Wajah Manusia,Netral,Tidak Diketahui,Person 3,faces\person_3\person_3_20251109_183959.jpg
